Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-1037.041	-1224.829	187.7882	1.429416	2.354393	0.577293	0.422707	1.01307
6	-1036.905	-1224.272	187.3669	1.429416	3.037495	0.679464	0.320536	1.111274
12	-1035.272	-1222.279	187.0075	1.180298	2.836477	0.635074	0.364926	1.65947
18	-1038.411	-1225.813	187.4023	1.246688	2.559056	0.553178	0.446822	1.412588
24	-1025.322	-1212.267	186.9446	1.205505	3.011533	0.611156	0.388844	1.632038
30	-1027.291	-1214.437	187.1456	1.424986	2.713059	0.50903	0.49097	1.417019
36	-1033.958	-1221.58	187.6222	1.424986	2.494832	0.585459	0.414541	1.107446
42	-1038.207	-1225.307	187.1008	1.258777	2.494832	0.54379	0.45621	1.650849
48	-1034.346	-1221.329	186.9824	1.173236	2.93738	0.51854	0.48146	1.650849
54	-1026.97	-1214.027	187.0564	1.119502	2.502867	0.578957	0.421043	1.777763
60	-1036.295	-1223.766	187.4712	1.093957	2.004538	0.51242	0.48758	1.691705
66	-1042.442	-1230.145	187.703	1.135236	2.068886	0.634052	0.365948	1.464407
72	-1038.818	-1225.659	186.8405	1.068398	2.198764	0.519739	0.480261	2.064605
78	-1046.522	-1233.308	186.7859	1.183494	2.253636	0.494011	0.505989	2.004923
84	-1047.198	-1234.12	186.922	0.8859422	2.431004	0.576205	0.423795	2.051079
90	-1040.571	-1227.302	186.7313	1.101069	3.181822	0.521619	0.478381	1.806386
96	-1041.927	-1228.649	186.7222	1.300139	2.80835	0.621253	0.378747	1.784921
102	-1032.557	-1219.17	186.6132	1.238176	3.211357	0.630702	0.369298	1.784921
108	-1036.278	-1223.281	187.0038	1.084111	2.411289	0.631587	0.368413	1.869829
114	-1034.505	-1220.915	186.4098	1.234021	3.256593	0.52477	0.47523	1.914783
120	-1040.516	-1227.079	186.5629	0.9772514	2.793107	0.443595	0.556405	2.114044
126	-1035.989	-1222.505	186.5153	0.9575442	2.380115	0.511543	0.488457	2.285675
132	-1044.802	-1230.762	185.9601	0.9830026	2.380115	0.636986	0.363014	2.618536
138	-1027.54	-1213.952	186.4127	0.8638719	3.024737	0.541176	0.458824	2.219819
144	-1041.587	-1229.362	187.7751	1.463306	2.248769	0.541696	0.458304	1.046732
150	-1037.906	-1224.125	186.2186	1.150426	3.495889	0.560151	0.439849	2.036853
156	-1034.506	-1220.741	186.2349	1.19398	3.352129	0.514561	0.485439	2.033562
162	-1027.325	-1213.41	186.0857	0.9576185	2.895658	0.591384	0.408616	2.403999
